State,Year,Quater,Transaction_type,Transaction_count,Transaction_amount
dadra-&-nagar-haveli-&-daman-&-diu,2019,2,Peer-to-peer payments,244134,734034142
dadra-&-nagar-haveli-&-daman-&-diu,2019,2,Recharge & bill payments,198184,63874445
dadra-&-nagar-haveli-&-daman-&-diu,2019,2,Merchant payments,40781,20816136
dadra-&-nagar-haveli-&-daman-&-diu,2019,2,Financial Services,748,155149
dadra-&-nagar-haveli-&-daman-&-diu,2019,2,Others,5809,5561402
dadra-&-nagar-haveli-&-daman-&-diu,2019,1,Peer-to-peer payments,408465,757657638
dadra-&-nagar-haveli-&-daman-&-diu,2019,1,Recharge & bill payments,225998,62660761
dadra-&-nagar-haveli-&-daman-&-diu,2019,1,Merchant payments,20694,17043867
dadra-&-nagar-haveli-&-daman-&-diu,2019,1,Financial Services,1645,221064
dadra-&-nagar-haveli-&-daman-&-diu,2019,1,Others,5012,5786443
dadra-&-nagar-haveli-&-daman-&-diu,2019,4,Recharge & bill payments,351819,125809568
dadra-&-nagar-haveli-&-daman-&-diu,2019,4,Peer-to-peer payments,324464,1051976410
dadra-&-nagar-haveli-&-daman-&-diu,2019,4,Merchant payments,86758,45361559
dadra-&-nagar-haveli-&-daman-&-diu,2019,4,Financial Services,1019,267762
dadra-&-nagar-haveli-&-daman-&-diu,2019,4,Others,4911,3225961
dadra-&-nagar-haveli-&-daman-&-diu,2019,3,Recharge & bill payments,319142,104597035
dadra-&-nagar-haveli-&-daman-&-diu,2019,3,Peer-to-peer payments,249944,821178569
dadra-&-nagar-haveli-&-daman-&-diu,2019,3,Merchant payments,63616,30634658
dadra-&-nagar-haveli-&-daman-&-diu,2019,3,Financial Services,533,425044
dadra-&-nagar-haveli-&-daman-&-diu,2019,3,Others,5516,4636167
dadra-&-nagar-haveli-&-daman-&-diu,2022,2,Merchant payments,3346697,1536859131
dadra-&-nagar-haveli-&-daman-&-diu,2022,2,Peer-to-peer payments,1861799,5078832140
dadra-&-nagar-haveli-&-daman-&-diu,2022,2,Recharge & bill payments,539562,372921225
dadra-&-nagar-haveli-&-daman-&-diu,2022,2,Financial Services,1849,2131607
dadra-&-nagar-haveli-&-daman-&-diu,2022,2,Others,9864,4415675
dadra-&-nagar-haveli-&-daman-&-diu,2022,1,Merchant payments,2507246,1227972829
dadra-&-nagar-haveli-&-daman-&-diu,2022,1,Peer-to-peer payments,1745454,4674787017
dadra-&-nagar-haveli-&-daman-&-diu,2022,1,Recharge & bill payments,538134,326296370
dadra-&-nagar-haveli-&-daman-&-diu,2022,1,Financial Services,2574,2661345
dadra-&-nagar-haveli-&-daman-&-diu,2022,1,Others,9395,5330803
dadra-&-nagar-haveli-&-daman-&-diu,2022,4,Merchant payments,4415771,1889046056
dadra-&-nagar-haveli-&-daman-&-diu,2022,4,Peer-to-peer payments,2215052,5737539058
dadra-&-nagar-haveli-&-daman-&-diu,2022,4,Recharge & bill payments,548795,426040023
dadra-&-nagar-haveli-&-daman-&-diu,2022,4,Financial Services,2495,3169199
dadra-&-nagar-haveli-&-daman-&-diu,2022,4,Others,7472,3846409
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,Merchant payments,3777156,1705567002
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,Peer-to-peer payments,2086741,5382949597
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,Recharge & bill payments,592431,425206924
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,Financial Services,2237,3194409
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,Others,7056,3729425
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,Recharge & bill payments,525974,178877986
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,Peer-to-peer payments,323909,1052118443
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,Merchant payments,118801,68938500
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,Financial Services,1826,993268
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,Others,2642,1448254
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,Recharge & bill payments,407577,153340696
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,Peer-to-peer payments,329005,1119439489
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,Merchant payments,137040,66713356
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,Financial Services,668,418783
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,Others,4289,2851043
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,Peer-to-peer payments,666995,2153786522
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,Merchant payments,631443,316510115
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,Recharge & bill payments,509971,224246669
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,Financial Services,2453,1683959
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,Others,6929,4283833
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,Recharge & bill payments,455603,201223380
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,Peer-to-peer payments,419524,1401020928
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,Merchant payments,257572,143497844
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,Financial Services,1635,1778864
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,Others,3978,2268098
dadra-&-nagar-haveli-&-daman-&-diu,2018,2,Recharge & bill payments,122834,30595592
dadra-&-nagar-haveli-&-daman-&-diu,2018,2,Peer-to-peer payments,69215,261995613
